Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-27,HDFC,EQ,1367.45,1376.9,1398.1,1368.55,1386.25,1387.7,1383.22,3451819,477461633050000.0,127074.0,1868719,0.5414
2016-07-28,HDFC,EQ,1387.7,1390.3,1410.0,1374.0,1406.7,1402.15,1390.07,5473387,760841090310000.0,91935.0,4280250,0.782
2016-07-29,HDFC,EQ,1402.15,1407.95,1407.95,1373.0,1375.0,1374.5,1378.45,3347082,461379605355000.0,104810.0,2659310,0.7945000000000001
2016-08-01,HDFC,EQ,1374.5,1385.0,1397.45,1368.0,1376.55,1374.3,1382.3,3040038,420225236705000.0,85726.0,2302799,0.7575000000000001
2016-08-02,HDFC,EQ,1374.3,1371.8,1373.35,1334.05,1338.0,1342.15,1349.3,3509100,473483177280000.0,143827.0,2751396,0.7841
2016-08-03,HDFC,EQ,1342.15,1342.15,1342.15,1316.4,1325.95,1325.45,1324.09,3806460,504011259160000.06,96941.0,2993982,0.7866
2016-08-04,HDFC,EQ,1325.45,1331.3,1333.7,1313.1,1320.55,1320.15,1319.53,2223224,293361626505000.0,92437.0,1631016,0.7336
2016-08-05,HDFC,EQ,1320.15,1330.0,1350.0,1322.55,1347.9,1342.1,1335.6,2210679,295259103650000.0,78058.0,1740912,0.7875
2016-08-08,HDFC,EQ,1342.1,1350.0,1370.6,1345.6,1363.35,1367.45,1358.23,2196658,298356937890000.0,63854.0,1581696,0.72
2016-08-09,HDFC,EQ,1367.45,1375.0,1376.0,1331.5,1342.05,1343.0,1347.21,3160963,425848148410000.0,119581.0,2261134,0.7153
2016-08-10,HDFC,EQ,1343.0,1343.35,1349.0,1325.35,1337.0,1337.15,1333.98,2397117,319771130975000.0,59048.0,1925059,0.8031
2016-08-11,HDFC,EQ,1337.15,1339.0,1353.1,1331.0,1348.05,1348.45,1340.57,2774737,371973791765000.0,78202.0,2179605,0.7855
2016-08-12,HDFC,EQ,1348.45,1354.0,1383.8,1352.55,1375.75,1382.15,1371.64,4666213,640037719875000.0,111631.0,3911639,0.8383
2016-08-16,HDFC,EQ,1382.15,1378.0,1385.0,1348.1,1361.7,1358.55,1363.1,3860834,526272128395000.0,147390.0,3243242,0.84
2016-08-17,HDFC,EQ,1358.55,1350.5,1372.45,1350.5,1364.85,1366.9,1365.11,2627238,358645858185000.0,92704.0,2121444,0.8075
2016-08-18,HDFC,EQ,1366.9,1369.5,1377.75,1363.75,1375.0,1374.3,1372.11,2889535,396476490970000.0,100143.0,2154114,0.7454999999999999
2016-08-19,HDFC,EQ,1374.3,1375.0,1376.15,1358.8,1372.0,1369.4,1364.85,2925379,399271251055000.0,124907.0,2367131,0.8092
2016-08-22,HDFC,EQ,1369.4,1370.0,1380.8,1357.6,1377.5,1377.55,1374.52,2069513,284459449490000.0,83671.0,1685144,0.8143000000000001
2016-08-23,HDFC,EQ,1377.55,1373.65,1380.0,1362.25,1379.05,1375.15,1369.05,1766716,241872956630000.03,68761.0,1377953,0.78
2016-08-24,HDFC,EQ,1375.15,1386.3,1386.8,1366.25,1383.7,1382.85,1374.27,1692693,232620932905000.03,72856.0,1248431,0.7375
2016-08-25,HDFC,EQ,1382.85,1380.65,1390.0,1352.3,1355.3,1357.5,1367.03,1846727,252452778885000.0,50002.0,1203576,0.6517000000000001
2016-08-26,HDFC,EQ,1357.5,1361.5,1371.15,1349.0,1362.55,1366.35,1357.11,1478521,200651278445000.0,71065.0,986327,0.6670999999999999
2016-08-29,HDFC,EQ,1366.35,1364.9,1379.5,1357.65,1375.7,1375.5,1373.12,1371236,188286752335000.0,97362.0,1008055,0.7351000000000001
2016-08-30,HDFC,EQ,1375.5,1379.9,1394.25,1373.6,1390.5,1392.1,1385.04,2039705,282507490550000.0,85039.0,1559152,0.7644
2016-08-31,HDFC,EQ,1392.1,1390.1,1414.0,1390.0,1409.85,1405.45,1402.51,5712564,801194972005000.0,140586.0,4246344,0.7433
2016-09-01,HDFC,EQ,1405.45,1412.0,1430.0,1405.3,1425.9,1424.75,1419.4,2336511,331643635280000.0,109988.0,1714755,0.7339
2016-09-02,HDFC,EQ,1424.75,1426.5,1441.95,1421.05,1439.35,1439.15,1436.32,2435712,349845622470000.0,91643.0,1659031,0.6811
2016-09-06,HDFC,EQ,1439.15,1453.0,1462.0,1442.0,1460.0,1458.05,1452.15,2249067,326598185515000.0,62412.0,1772356,0.788
2016-09-07,HDFC,EQ,1458.05,1464.0,1464.0,1416.25,1433.25,1427.15,1430.79,2282112,326522848785000.0,81247.0,1699166,0.7445999999999999
2016-09-08,HDFC,EQ,1427.15,1432.75,1442.8,1428.1,1437.0,1437.8,1435.55,1135659,163029115750000.0,88538.0,811200,0.7143
2016-09-09,HDFC,EQ,1437.8,1442.0,1442.0,1396.55,1412.55,1410.65,1407.94,3028457,426388901860000.0,124538.0,2228142,0.7356999999999999
2016-09-12,HDFC,EQ,1410.65,1390.0,1410.0,1373.7,1398.0,1399.05,1395.48,2322859,324150383030000.0,69127.0,1741713,0.7498
2016-09-14,HDFC,EQ,1399.05,1391.05,1397.9,1378.5,1395.0,1392.2,1387.44,2442783,338922345175000.0,95800.0,1869692,0.7654000000000001
2016-09-15,HDFC,EQ,1392.2,1393.1,1412.5,1390.4,1408.55,1410.05,1400.75,1519406,212831443310000.0,91194.0,1080120,0.7109000000000001
2016-09-16,HDFC,EQ,1410.05,1416.7,1417.0,1393.0,1394.0,1397.35,1402.45,5047304,707858973885000.0,103352.0,4010829,0.7946
2016-09-19,HDFC,EQ,1397.35,1399.9,1401.0,1386.0,1394.7,1392.8,1391.37,1515698,210890400720000.0,58808.0,1191347,0.7859999999999999
2016-09-20,HDFC,EQ,1392.8,1390.0,1396.0,1382.25,1394.9,1393.1,1389.6,2123466,295075984595000.0,54923.0,1738031,0.8185
2016-09-21,HDFC,EQ,1393.1,1392.35,1406.0,1388.55,1392.55,1392.35,1397.0,2262794,316111504600000.0,73954.0,1830041,0.8088
2016-09-22,HDFC,EQ,1392.35,1405.9,1419.4,1402.0,1415.0,1413.25,1411.24,2777234,391935479105000.0,100119.0,2272068,0.8181
2016-09-23,HDFC,EQ,1413.25,1418.0,1427.2,1412.0,1424.0,1425.1,1420.99,1369990,194674682460000.0,42623.0,1009877,0.7371
2016-09-26,HDFC,EQ,1425.1,1417.3,1424.2,1403.1,1414.0,1412.45,1408.8,1999367,281671648965000.0,71354.0,1621686,0.8111
2016-09-27,HDFC,EQ,1412.45,1415.7,1423.0,1406.0,1420.0,1418.9,1416.63,1288154,182483335360000.0,47654.0,936475,0.7270000000000001
2016-09-28,HDFC,EQ,1418.9,1418.1,1432.0,1417.15,1420.8,1423.55,1425.01,1322605,188472287320000.0,41642.0,855994,0.6472
2016-09-29,HDFC,EQ,1423.55,1428.5,1432.95,1392.6,1402.15,1401.4,1405.36,3386269,475893292630000.0,49983.0,2364983,0.6984
2016-09-30,HDFC,EQ,1401.4,1396.9,1399.2,1381.8,1394.95,1393.45,1389.19,2719424,377780173925000.0,67352.0,2090851,0.7689
2016-10-03,HDFC,EQ,1393.45,1401.0,1430.2,1386.0,1424.3,1425.5,1412.75,1189432,168036439275000.0,70398.0,701235,0.5896
2016-10-04,HDFC,EQ,1425.5,1423.25,1435.2,1416.1,1432.0,1432.4,1426.49,2188072,312126666315000.0,56442.0,1689229,0.772
2016-10-05,HDFC,EQ,1432.4,1435.0,1437.35,1414.35,1423.0,1423.15,1422.71,1127576,160421436995000.0,61142.0,614336,0.5448
2016-10-06,HDFC,EQ,1423.15,1425.2,1433.9,1418.2,1423.0,1426.0,1425.66,1367425,194948759430000.0,59356.0,1025389,0.7499
2016-10-07,HDFC,EQ,1426.0,1426.0,1426.0,1398.4,1400.1,1403.7,1406.05,1275355,179320955530000.0,57784.0,871099,0.6829999999999999
2016-10-10,HDFC,EQ,1403.7,1408.0,1412.0,1386.15,1394.5,1391.45,1392.25,966179,134516191730000.0,41691.0,659564,0.6827
2016-10-13,HDFC,EQ,1391.45,1385.0,1400.0,1335.05,1336.5,1338.9,1349.81,3233878,436511167995000.0,173013.0,2417828,0.7477
2016-10-14,HDFC,EQ,1338.9,1340.8,1342.0,1312.9,1320.0,1316.05,1324.12,3014689,399182178770000.0,118975.0,2484602,0.8242
2016-10-17,HDFC,EQ,1316.05,1321.95,1322.95,1297.15,1304.0,1301.95,1305.13,2134599,278592835365000.0,84842.0,1618337,0.7581
2016-10-18,HDFC,EQ,1301.95,1307.0,1357.7,1306.55,1355.0,1355.25,1339.93,2217709,297156411785000.0,84213.0,1606292,0.7243
2016-10-19,HDFC,EQ,1355.25,1358.9,1359.25,1336.15,1339.65,1342.15,1343.34,1840483,247240234380000.03,70966.0,1139562,0.6192000000000001
2016-10-20,HDFC,EQ,1342.15,1348.0,1368.0,1345.3,1360.0,1359.95,1360.47,1708024,232371313075000.0,65453.0,1149633,0.6731
2016-10-21,HDFC,EQ,1359.95,1361.45,1361.45,1331.05,1339.0,1336.55,1336.98,3175886,424610888610000.0,123151.0,2668186,0.8401000000000001
2016-10-24,HDFC,EQ,1336.55,1341.35,1350.0,1333.05,1345.0,1344.0,1342.12,923522,123947353745000.0,28560.0,617742,0.6689
2016-10-25,HDFC,EQ,1344.0,1344.8,1349.25,1327.5,1338.0,1340.1,1339.51,1051311,140824425810000.0,54464.0,763131,0.7259000000000001
2016-10-26,HDFC,EQ,1340.1,1336.6,1343.95,1319.0,1336.0,1334.65,1330.28,1797435,239109440560000.0,89734.0,1216554,0.6768000000000001
2016-10-27,HDFC,EQ,1334.65,1336.1,1383.0,1328.6,1370.1,1378.55,1364.19,3054221,416654374340000.0,80476.0,1977699,0.6475
2016-10-28,HDFC,EQ,1378.55,1374.7,1393.0,1362.4,1388.0,1391.7,1381.2,2929858,404671574975000.0,121054.0,2325826,0.7938
2016-10-30,HDFC,EQ,1391.7,1398.0,1398.0,1375.0,1377.0,1377.5,1381.06,110205,15220003694999.998,3479.0,42253,0.3834
2016-11-01,HDFC,EQ,1377.5,1382.6,1431.75,1377.0,1416.0,1417.2,1414.95,4195608,593656915770000.0,121645.0,3280852,0.782
2016-11-02,HDFC,EQ,1417.2,1400.0,1408.95,1392.25,1406.85,1404.35,1401.9,1717505,240776576290000.0,96472.0,1283176,0.7471
2016-11-03,HDFC,EQ,1404.35,1400.9,1411.45,1395.7,1404.9,1401.6,1403.23,1447474,203113340860000.0,62943.0,1115685,0.7708
2016-11-04,HDFC,EQ,1401.6,1408.0,1408.0,1377.55,1387.3,1386.15,1390.68,1818296,252866376210000.0,115950.0,1263627,0.6950000000000001
2016-11-07,HDFC,EQ,1386.15,1401.35,1401.95,1373.35,1375.85,1381.4,1382.82,2013931,278489689635000.0,79022.0,1500983,0.7453000000000001
2016-11-08,HDFC,EQ,1381.4,1381.4,1394.6,1366.1,1393.7,1391.35,1380.73,1611902,222560096269999.97,62991.0,1102180,0.6838
2016-11-09,HDFC,EQ,1391.35,1335.55,1362.1,1310.0,1354.5,1350.8,1335.03,4422950,590475242145000.0,85391.0,2837648,0.6416
2016-11-10,HDFC,EQ,1350.8,1361.0,1364.55,1311.0,1317.55,1324.55,1336.8,3981742,532279514935000.06,137709.0,3197168,0.8029999999999999
2016-11-11,HDFC,EQ,1324.55,1310.0,1311.4,1263.25,1266.0,1268.35,1281.08,3340486,427943424310000.0,66901.0,2367851,0.7088
2016-11-15,HDFC,EQ,1268.35,1258.0,1258.0,1201.0,1216.05,1225.75,1224.07,6489223,794327594640000.0,138281.0,4436204,0.6836
2016-11-16,HDFC,EQ,1225.75,1237.7,1265.45,1221.8,1253.0,1255.4,1242.03,4265216,529752335864999.94,120446.0,3281562,0.7694
2016-11-17,HDFC,EQ,1255.4,1260.0,1270.55,1238.1,1248.1,1250.2,1252.08,2462361,308308026705000.0,105413.0,1784384,0.7247
2016-11-18,HDFC,EQ,1250.2,1250.2,1261.65,1243.4,1250.05,1249.8,1253.01,2742765,343671304460000.0,92157.0,2283734,0.8326000000000001
2016-11-21,HDFC,EQ,1249.8,1250.0,1250.0,1213.75,1223.1,1221.95,1230.88,2648780,326032309785000.0,85288.0,1876203,0.7083
2016-11-22,HDFC,EQ,1221.95,1230.0,1252.5,1225.8,1249.55,1249.7,1241.3,2649077,328831084725000.0,101394.0,1943712,0.7337
2016-11-23,HDFC,EQ,1249.7,1250.0,1255.0,1205.0,1230.1,1226.9,1221.93,3248078,396891664290000.0,101957.0,2143832,0.66
2016-11-24,HDFC,EQ,1226.9,1217.1,1229.85,1212.1,1219.95,1217.65,1219.65,3969055,484086489489999.94,75645.0,3274032,0.8249
2016-11-25,HDFC,EQ,1217.65,1227.0,1257.15,1210.2,1251.0,1244.05,1226.48,3185195,390659265435000.0,96155.0,2323643,0.7295
2016-11-28,HDFC,EQ,1244.05,1236.1,1252.0,1234.0,1241.1,1246.7,1242.15,2670157,331674388590000.0,111243.0,2125219,0.7959
2016-11-29,HDFC,EQ,1246.7,1241.6,1284.95,1241.6,1252.0,1255.8,1269.27,3448317,437683096530000.0,96669.0,2650791,0.7687
2016-11-30,HDFC,EQ,1255.8,1254.2,1272.1,1237.55,1265.0,1263.1,1257.75,4722267,593941534395000.0,147352.0,3618717,0.7663
2016-12-01,HDFC,EQ,1263.1,1268.4,1285.75,1259.2,1267.2,1270.0,1274.81,2474051,315393325330000.0,134870.0,1719983,0.6951999999999999
2016-12-02,HDFC,EQ,1270.0,1260.4,1260.5,1233.0,1237.05,1236.8,1242.83,2832229,351997688070000.0,152168.0,2038631,0.7198000000000001
2016-12-05,HDFC,EQ,1236.8,1236.8,1239.95,1183.15,1218.95,1215.55,1208.17,5623284,679386739480000.0,197374.0,3852545,0.6851
2016-12-06,HDFC,EQ,1215.55,1218.05,1259.8,1218.05,1240.6,1243.4,1247.09,2799494,349122364425000.0,106555.0,1470400,0.5252
2016-12-07,HDFC,EQ,1243.4,1246.4,1283.45,1246.0,1265.25,1264.95,1264.87,4418144,558839877580000.0,136614.0,3415520,0.7731
2016-12-08,HDFC,EQ,1264.95,1270.5,1295.0,1270.5,1284.7,1289.85,1285.11,2704208,347520754215000.0,132716.0,1786071,0.6605
2016-12-09,HDFC,EQ,1289.85,1287.0,1289.7,1260.0,1273.0,1268.25,1268.85,2333398,296074229940000.0,87808.0,1590416,0.6816
2016-12-12,HDFC,EQ,1268.25,1266.9,1278.0,1254.15,1261.0,1264.5,1263.58,1219745,154124747890000.0,55175.0,778148,0.638
2016-12-13,HDFC,EQ,1264.5,1269.4,1281.5,1250.0,1275.05,1278.55,1269.22,1656438,210238104165000.0,65759.0,1171715,0.7073999999999999
2016-12-14,HDFC,EQ,1278.55,1279.0,1279.0,1257.0,1271.75,1266.55,1265.88,1628885,206197989230000.0,76537.0,1110178,0.6816
2016-12-15,HDFC,EQ,1266.55,1262.0,1277.4,1255.25,1261.55,1259.2,1264.41,1731691,218957046619999.97,75824.0,1130330,0.6527
2016-12-16,HDFC,EQ,1259.2,1262.0,1278.0,1262.0,1266.55,1269.15,1271.51,2775322,352884659840000.0,101919.0,2109514,0.7601000000000001
2016-12-19,HDFC,EQ,1269.15,1263.0,1263.9,1242.65,1243.65,1247.9,1254.77,1279508,160548632730000.0,55964.0,966217,0.7551000000000001
2016-12-20,HDFC,EQ,1247.9,1245.9,1255.9,1227.8,1239.0,1235.55,1240.12,1935652,240043968225000.0,86773.0,1482767,0.766
2016-12-21,HDFC,EQ,1235.55,1242.0,1256.95,1230.25,1233.35,1235.6,1246.95,3217980,401264491980000.0,86305.0,2421025,0.7523000000000001
2016-12-22,HDFC,EQ,1235.6,1234.8,1237.85,1213.25,1219.0,1217.4,1219.44,2238703,272996957955000.03,68350.0,1698635,0.7587999999999999
2016-12-23,HDFC,EQ,1217.4,1217.4,1232.3,1208.25,1224.0,1224.85,1224.64,1560501,191105732265000.0,68410.0,1104261,0.7076000000000001
2016-12-26,HDFC,EQ,1224.85,1220.0,1224.25,1206.0,1221.9,1219.5,1216.37,747342,90904423890000.0,38777.0,394640,0.5281
2016-12-27,HDFC,EQ,1219.5,1221.9,1237.0,1211.45,1235.7,1232.15,1220.62,872827,106538923040000.0,43219.0,466112,0.534
2016-12-28,HDFC,EQ,1232.15,1238.9,1248.05,1222.9,1235.0,1237.95,1237.02,2032787,251459246300000.0,78307.0,1439680,0.7081999999999999
2016-12-29,HDFC,EQ,1237.95,1234.7,1261.55,1229.9,1257.85,1257.2,1249.58,2005422,250594264390000.0,90372.0,1394661,0.6954000000000001
2016-12-30,HDFC,EQ,1257.2,1263.35,1269.75,1249.5,1261.4,1262.6,1262.54,1388842,175346339510000.0,56561.0,1001392,0.721
2017-01-02,HDFC,EQ,1262.6,1272.0,1272.0,1213.7,1216.95,1217.1,1224.52,2369360,290133331615000.0,64113.0,1350679,0.5700999999999999
2017-01-03,HDFC,EQ,1217.1,1218.7,1222.6,1200.5,1212.1,1214.0,1214.18,3203369,388947131635000.0,99126.0,2164639,0.6757
2017-01-04,HDFC,EQ,1214.0,1215.8,1224.5,1197.25,1215.0,1212.1,1212.57,2805972,340243320235000.0,112395.0,1976521,0.7044
2017-01-05,HDFC,EQ,1212.1,1215.7,1220.4,1205.1,1215.0,1217.2,1213.85,3339784,405400861430000.0,201479.0,2550051,0.7635
2017-01-06,HDFC,EQ,1217.2,1219.0,1232.0,1218.8,1223.0,1222.35,1225.75,2774461,340078474420000.0,109327.0,2265699,0.8166
2017-01-09,HDFC,EQ,1222.35,1225.0,1229.0,1212.6,1221.5,1223.55,1221.85,2016528,246389425730000.03,50600.0,1606106,0.7965000000000001
2017-01-10,HDFC,EQ,1223.55,1225.0,1227.95,1213.05,1218.0,1217.25,1219.54,2669824,325595899995000.0,78992.0,1950606,0.7306
2017-01-11,HDFC,EQ,1217.25,1224.7,1233.0,1218.2,1228.0,1230.05,1226.73,1353730,166066390750000.0,70701.0,792711,0.5856
2017-01-12,HDFC,EQ,1230.05,1234.0,1242.95,1217.6,1219.2,1221.1,1227.26,1477834,181368920490000.0,71533.0,910875,0.6164000000000001
2017-01-13,HDFC,EQ,1221.1,1224.95,1250.6,1222.15,1246.0,1247.5,1243.68,2131709,265115618730000.03,74007.0,1356457,0.6363000000000001
2017-01-16,HDFC,EQ,1247.5,1245.1,1264.0,1240.25,1258.0,1256.9,1255.74,1694061,212729199575000.0,41592.0,1256614,0.7418000000000001
2017-01-17,HDFC,EQ,1256.9,1258.35,1261.0,1234.95,1246.85,1245.8,1245.2,1185487,147616478690000.0,42575.0,740762,0.6249
2017-01-18,HDFC,EQ,1245.8,1246.3,1260.95,1245.65,1247.0,1249.05,1251.65,1491317,186660844045000.0,62113.0,1079058,0.7236
2017-01-19,HDFC,EQ,1249.05,1251.7,1251.7,1232.9,1243.15,1242.4,1242.54,1599732,198773226885000.0,65869.0,1135563,0.7098000000000001
2017-01-20,HDFC,EQ,1242.4,1236.15,1245.0,1230.6,1236.65,1237.3,1237.24,1408933,174319211945000.0,63635.0,955629,0.6783
2017-01-23,HDFC,EQ,1237.3,1234.7,1262.0,1232.0,1262.0,1259.75,1253.32,2265524,283942413230000.0,74354.0,1812334,0.8
2017-01-24,HDFC,EQ,1259.75,1263.1,1282.0,1260.0,1277.1,1280.75,1276.14,1937436,247243630275000.0,80121.0,1478906,0.7633
2017-01-25,HDFC,EQ,1280.75,1284.0,1341.45,1279.7,1328.8,1337.4,1317.76,5273331,694898557380000.0,158501.0,3997461,0.7581
2017-01-27,HDFC,EQ,1337.4,1329.15,1379.0,1329.15,1366.5,1373.7,1363.9,4017493,547945388045000.0,124783.0,3096781,0.7708
2017-01-30,HDFC,EQ,1373.7,1370.4,1379.4,1360.0,1371.45,1371.9,1371.71,2427494,332982192405000.0,96771.0,1432001,0.5899
2017-01-31,HDFC,EQ,1371.9,1371.45,1388.2,1353.0,1365.0,1365.85,1369.44,2588181,354436262890000.0,91881.0,1707352,0.6597
2017-02-01,HDFC,EQ,1365.85,1370.0,1417.45,1369.65,1411.0,1412.1,1397.5,2637813,368634798890000.0,99693.0,1571006,0.5956
2017-02-02,HDFC,EQ,1412.1,1411.0,1411.0,1385.7,1404.0,1401.3,1396.01,2336054,326115148135000.0,89416.0,1779225,0.7615999999999999
2017-02-03,HDFC,EQ,1401.3,1401.5,1408.0,1385.6,1395.0,1397.45,1396.92,2144208,299528277910000.0,81342.0,1446083,0.6744
2017-02-06,HDFC,EQ,1397.45,1402.0,1411.85,1388.6,1397.7,1400.3,1399.74,2029593,284090586360000.0,82830.0,1449233,0.7141
2017-02-07,HDFC,EQ,1400.3,1399.6,1410.0,1388.4,1407.0,1407.25,1403.86,2731391,383447733330000.0,56779.0,2266063,0.8296
2017-02-08,HDFC,EQ,1407.25,1410.0,1410.0,1383.8,1399.0,1401.1,1397.8,2263272,316359880565000.0,103015.0,1691294,0.7473000000000001
2017-02-09,HDFC,EQ,1401.1,1402.0,1421.2,1385.65,1402.0,1396.9,1399.56,2389616,334440746580000.0,101668.0,1593972,0.667
2017-02-10,HDFC,EQ,1396.9,1408.0,1410.0,1382.8,1393.0,1388.55,1392.8,1637560,228079932815000.0,56809.0,1192367,0.7281000000000001
2017-02-13,HDFC,EQ,1388.55,1398.4,1398.4,1372.6,1395.45,1392.05,1384.12,1638938,226848107265000.0,67724.0,1205062,0.7353000000000001
2017-02-14,HDFC,EQ,1392.05,1398.0,1403.65,1388.05,1399.0,1398.15,1395.94,1564027,218328758119999.97,50768.0,1248098,0.798
2017-02-15,HDFC,EQ,1398.15,1399.9,1409.8,1389.5,1399.0,1399.15,1399.1,2323380,325063445975000.0,97772.0,1903001,0.8190999999999999
2017-02-16,HDFC,EQ,1399.15,1394.15,1403.0,1386.25,1393.9,1393.55,1394.26,2017252,281257413494999.97,109427.0,1658410,0.8220999999999999
2017-02-17,HDFC,EQ,1393.55,1425.0,1432.65,1400.2,1404.75,1402.5,1413.6,2075335,293369045865000.0,72529.0,1144012,0.5512
2017-02-20,HDFC,EQ,1402.5,1401.55,1402.85,1386.0,1393.0,1393.3,1392.35,1470475,204742108830000.0,43705.0,1112132,0.7563
2017-02-21,HDFC,EQ,1393.3,1393.1,1414.0,1389.85,1413.0,1412.45,1403.05,734159,103006310190000.0,44498.0,464876,0.6332
2017-02-22,HDFC,EQ,1412.45,1415.0,1415.0,1391.8,1396.5,1394.1,1400.16,2494083,349212332275000.0,104590.0,1680015,0.6736
2017-02-23,HDFC,EQ,1394.1,1401.0,1404.9,1378.0,1390.0,1385.7,1389.91,4125739,573441536070000.0,124877.0,3261942,0.7906000000000001
2017-02-27,HDFC,EQ,1385.7,1389.45,1389.45,1368.1,1372.0,1375.7,1377.63,2822066,388777457170000.0,76169.0,2398787,0.85
2017-02-28,HDFC,EQ,1375.7,1377.0,1383.95,1368.4,1370.9,1370.05,1374.89,2318175,318722965505000.0,104499.0,1701769,0.7341
2017-03-01,HDFC,EQ,1370.05,1369.8,1405.0,1369.2,1396.85,1400.55,1395.82,2163448,301978305345000.0,73037.0,1621802,0.7495999999999999
2017-03-02,HDFC,EQ,1400.55,1403.0,1415.4,1392.0,1393.35,1399.0,1406.03,2671884,375675798085000.0,108250.0,1994293,0.7464000000000001
2017-03-03,HDFC,EQ,1399.0,1392.3,1397.0,1366.0,1370.5,1371.2,1373.56,1137208,156202607955000.0,53880.0,702939,0.6181
2017-03-06,HDFC,EQ,1371.2,1379.0,1392.0,1362.5,1367.0,1365.95,1372.29,2236116,306860931505000.0,66628.0,1608729,0.7194
2017-03-07,HDFC,EQ,1365.95,1374.4,1374.4,1362.75,1365.0,1365.4,1366.83,1507326,206025758110000.0,51442.0,1187910,0.7881
2017-03-08,HDFC,EQ,1365.4,1368.1,1376.8,1361.3,1365.5,1367.7,1367.1,2330472,318599310585000.0,100277.0,1760059,0.7552
2017-03-09,HDFC,EQ,1367.7,1368.25,1381.9,1362.6,1373.95,1371.5,1372.53,2205255,302678884530000.0,77998.0,1664944,0.755
2017-03-10,HDFC,EQ,1371.5,1378.0,1383.35,1369.0,1375.7,1373.8,1375.18,1607599,221073774730000.03,56798.0,1196665,0.7444
2017-03-14,HDFC,EQ,1373.8,1415.2,1428.0,1413.3,1421.95,1424.15,1419.2,6249576,886939156225000.0,152114.0,5128902,0.8207
2017-03-15,HDFC,EQ,1424.15,1425.4,1435.0,1416.65,1424.15,1426.1,1426.56,2598530,370696952205000.0,116205.0,1919940,0.7389
2017-03-16,HDFC,EQ,1426.1,1431.65,1454.75,1431.15,1452.0,1450.25,1444.15,3406772,491989014200000.0,139681.0,2760081,0.8102
2017-03-17,HDFC,EQ,1450.25,1458.5,1458.5,1438.7,1446.2,1451.2,1449.31,3588003,520013516400000.0,129695.0,2907145,0.8102
2017-03-20,HDFC,EQ,1451.2,1449.8,1464.95,1446.95,1456.6,1457.75,1458.77,1745773,254667964075000.0,50745.0,1348156,0.7722
2017-03-21,HDFC,EQ,1457.75,1452.15,1473.45,1449.35,1461.1,1458.4,1458.8,2087458,304518800450000.0,66015.0,1553169,0.7440000000000001
2017-03-22,HDFC,EQ,1458.4,1449.9,1454.75,1434.05,1442.0,1442.3,1441.53,1866922,269122819719999.97,97159.0,1487877,0.797
2017-03-23,HDFC,EQ,1442.3,1444.6,1460.9,1439.85,1459.0,1456.65,1447.81,2342002,339076623900000.0,56615.0,1944628,0.8303
2017-03-24,HDFC,EQ,1456.65,1458.0,1467.25,1450.0,1461.5,1462.6,1463.06,1701119,248884547815000.0,71234.0,1380223,0.8114
2017-03-27,HDFC,EQ,1462.6,1455.0,1478.5,1455.0,1477.0,1474.7,1468.76,2418666,355243331265000.0,80711.0,2018971,0.8347
2017-03-28,HDFC,EQ,1474.7,1477.7,1508.0,1477.1,1506.6,1504.1,1498.18,2272786,340504824205000.0,61508.0,1684300,0.7411
2017-03-29,HDFC,EQ,1504.1,1510.1,1531.0,1498.5,1524.45,1522.05,1513.15,3595260,544015382150000.0,89516.0,2911900,0.8099
2017-03-30,HDFC,EQ,1522.05,1520.0,1528.4,1510.55,1518.0,1519.95,1519.97,8057156,1224664597220000.0,123936.0,6937745,0.8611
2017-03-31,HDFC,EQ,1519.95,1520.2,1520.2,1496.55,1499.85,1502.1,1503.99,2816509,423599632310000.0,105916.0,2120923,0.753
2017-04-03,HDFC,EQ,1502.1,1509.65,1537.2,1502.05,1537.0,1533.65,1525.88,2302442,351325210525000.0,72784.0,1652997,0.7179000000000001
2017-04-05,HDFC,EQ,1533.65,1525.1,1530.0,1486.75,1492.0,1490.15,1497.51,4839266,724686511555000.0,169752.0,3825395,0.7905
2017-04-06,HDFC,EQ,1490.15,1490.0,1490.0,1468.1,1481.55,1482.6,1479.34,3533800,522768806725000.0,86428.0,2659916,0.7526999999999999
2017-04-07,HDFC,EQ,1482.6,1474.9,1494.0,1466.25,1481.7,1484.75,1481.73,2366116,350595012295000.0,48238.0,1782523,0.7534000000000001
2017-04-10,HDFC,EQ,1484.75,1484.0,1484.0,1465.05,1465.85,1467.5,1469.85,2200153,323388630255000.0,77780.0,1880021,0.8545
2017-04-11,HDFC,EQ,1467.5,1465.1,1486.95,1461.2,1479.0,1476.85,1477.74,2166320,320125432095000.0,73737.0,1578551,0.7287
2017-04-12,HDFC,EQ,1476.85,1475.0,1476.45,1460.0,1468.95,1466.65,1465.4,2663565,390319357635000.0,105512.0,2222812,0.8345
2017-04-13,HDFC,EQ,1466.65,1470.0,1484.7,1461.15,1475.2,1474.9,1475.74,1773012,261650009419999.97,51949.0,1295461,0.7306999999999999
2017-04-17,HDFC,EQ,1474.9,1475.0,1494.45,1474.8,1480.0,1479.55,1484.67,1213004,180091646200000.0,39093.0,783162,0.6456000000000001
